order_no,customer_id,seller_id,total_amount,status,id,created_at,updated_at,is_deleted
ORD-20250101,402,295,1757290.28,pending,102,2025-09-27 20:27:42.675221,2025-11-25 20:27:42.681254,0
ORD-20250102,9,2985,2171919.1300000004,done,103,2025-10-09 20:27:42.680763,2025-11-25 20:27:42.687325,0
ORD-20250103,132,4446,1403231.34,done,104,2025-10-26 20:27:42.686961,2025-11-25 20:27:42.692291,0
ORD-20250104,522,3771,367950.31999999995,pending,105,2025-10-15 20:27:42.691936,2025-11-25 20:27:42.694400,0
ORD-20250105,545,4496,1861033.7499999998,shipped,106,2025-11-10 20:27:42.694059,2025-11-25 20:27:42.698933,0
ORD-20250106,533,4163,362493.08,done,107,2025-11-11 20:27:42.698583,2025-11-25 20:27:42.700929,0
ORD-20250107,327,3884,1185153.87,done,108,2025-10-09 20:27:42.700583,2025-11-25 20:27:42.705003,0
ORD-20250108,325,4306,2069685.8299999998,done,109,2025-11-07 20:27:42.704635,2025-11-25 20:27:42.710011,0
ORD-20250109,328,4867,966275.38,shipped,110,2025-10-09 20:27:42.709611,2025-11-25 20:27:42.713008,0
ORD-20250110,423,4088,807339.0599999999,done,111,2025-11-12 20:27:42.712645,2025-11-25 20:27:42.714512,0
ORD-20250111,538,628,215609.24,done,112,2025-10-10 20:27:42.713656,2025-11-25 20:27:42.716107,0
ORD-20250112,561,4613,2245696.25,paid,113,2025-10-26 20:27:42.715292,2025-11-25 20:27:42.722634,0
ORD-20250113,393,1580,1126619.44,pending,114,2025-11-25 20:27:42.722264,2025-11-25 20:27:42.725739,0
ORD-20250114,524,2753,1483261.3399999999,shipped,115,2025-10-12 20:27:42.725337,2025-11-25 20:27:42.731919,0
ORD-20250115,262,4648,2403877.8,done,116,2025-11-04 20:27:42.731545,2025-11-25 20:27:42.738987,0
ORD-20250116,56,4268,1781146.29,done,117,2025-11-08 20:27:42.738541,2025-11-25 20:27:42.746716,0
ORD-20250117,44,4728,1041284.44,paid,118,2025-10-18 20:27:42.746334,2025-11-25 20:27:42.748973,0
ORD-20250118,322,2927,1295577.05,shipped,119,2025-11-04 20:27:42.748591,2025-11-25 20:27:42.754294,0
ORD-20250119,147,661,1329528.73,done,120,2025-10-25 20:27:42.753936,2025-11-25 20:27:42.760828,0
ORD-20250120,423,719,1745396.43,done,121,2025-10-07 20:27:42.760488,2025-11-25 20:27:42.767281,0
ORD-20250121,481,3763,2106426.2,done,122,2025-10-15 20:27:42.766930,2025-11-25 20:27:42.772560,0
ORD-20250122,354,3262,1106979.3199999998,done,123,2025-10-03 20:27:42.772167,2025-11-25 20:27:42.775247,0
ORD-20250123,163,2731,123336.34,paid,124,2025-10-26 20:27:42.774850,2025-11-25 20:27:42.777548,0
ORD-20250124,390,3040,871833.49,done,125,2025-10-30 20:27:42.777191,2025-11-25 20:27:42.779660,0
ORD-20250125,393,2790,1991736.05,pending,126,2025-09-29 20:27:42.779291,2025-11-25 20:27:42.785234,0
ORD-20250126,317,2852,136840.0,paid,127,2025-11-09 20:27:42.784870,2025-11-25 20:27:42.786655,0
ORD-20250127,367,2612,715720.2799999999,pending,128,2025-11-08 20:27:42.785802,2025-11-25 20:27:42.792803,0
ORD-20250128,59,2654,935663.31,paid,129,2025-11-17 20:27:42.792430,2025-11-25 20:27:42.795782,0
ORD-20250129,377,4416,1982042.3199999998,shipped,130,2025-11-06 20:27:42.795398,2025-11-25 20:27:42.802129,0
ORD-20250130,544,1557,753409.3999999999,done,131,2025-09-28 20:27:42.801759,2025-11-25 20:27:42.806879,0
ORD-20250131,390,1918,1209382.82,done,132,2025-11-18 20:27:42.806507,2025-11-25 20:27:42.810669,0
ORD-20250132,472,1595,1456384.45,done,133,2025-11-13 20:27:42.810311,2025-11-25 20:27:42.815292,0
ORD-20250133,463,1477,2164524.8899999997,pending,134,2025-11-12 20:27:42.814879,2025-11-25 20:27:42.821922,0
ORD-20250134,39,3942,2179589.6300000004,done,135,2025-11-07 20:27:42.820752,2025-11-25 20:27:42.827732,0
ORD-20250135,139,1279,1267892.21,done,136,2025-10-17 20:27:42.827309,2025-11-25 20:27:42.832913,0
ORD-20250136,198,4161,2398903.17,paid,137,2025-11-21 20:27:42.832567,2025-11-25 20:27:42.839059,0
ORD-20250137,43,254,2745092.8899999997,done,138,2025-10-07 20:27:42.838699,2025-11-25 20:27:42.845631,0
ORD-20250138,325,1424,2415588.02,paid,139,2025-10-03 20:27:42.845213,2025-11-25 20:27:42.853098,0
ORD-20250139,123,583,2532236.05,done,140,2025-10-01 20:27:42.852708,2025-11-25 20:27:42.859118,0
ORD-20250140,175,427,1592369.9,paid,141,2025-11-20 20:27:42.858721,2025-11-25 20:27:42.865613,0
ORD-20250141,468,4558,1995787.2499999998,done,142,2025-10-29 20:27:42.865267,2025-11-25 20:27:42.870469,0
ORD-20250142,31,3364,1350543.1199999999,done,143,2025-11-09 20:27:42.870127,2025-11-25 20:27:42.874814,0
ORD-20250143,11,4640,2285492.57,pending,144,2025-10-04 20:27:42.874484,2025-11-25 20:27:42.880067,0
ORD-20250144,91,2445,461664.31999999995,done,145,2025-10-17 20:27:42.879709,2025-11-25 20:27:42.882213,0
ORD-20250145,548,1113,1926245.79,done,146,2025-10-29 20:27:42.881828,2025-11-25 20:27:42.889052,0
ORD-20250146,455,4034,677207.96,done,147,2025-10-16 20:27:42.888665,2025-11-25 20:27:42.892223,0
ORD-20250147,479,274,606137.12,shipped,148,2025-10-03 20:27:42.891815,2025-11-25 20:27:42.895539,0
ORD-20250148,181,3092,397499.68,pending,149,2025-10-13 20:27:42.895147,2025-11-25 20:27:42.899682,0
ORD-20250149,421,4144,9631.6,pending,150,2025-10-28 20:27:42.899303,2025-11-25 20:27:42.901049,0
ORD-20250150,403,847,2161099.09,shipped,151,2025-10-02 20:27:42.938798,2025-11-25 20:27:42.946854,0
ORD-20250151,109,1619,641592.54,shipped,152,2025-11-17 20:27:42.946453,2025-11-25 20:27:42.949887,0
ORD-20250152,422,3671,2554678.47,done,153,2025-09-30 20:27:42.949502,2025-11-25 20:27:42.956767,0
ORD-20250153,84,2261,666900.1900000001,pending,154,2025-10-13 20:27:42.956399,2025-11-25 20:27:42.960533,0
ORD-20250154,433,940,1671839.02,done,155,2025-11-04 20:27:42.960146,2025-11-25 20:27:42.964675,0
ORD-20250155,44,1194,1844404.91,paid,156,2025-10-17 20:27:42.964259,2025-11-25 20:27:42.970920,0
ORD-20250156,285,1709,1582223.4700000002,shipped,157,2025-11-23 20:27:42.970543,2025-11-25 20:27:42.976157,0
ORD-20250157,522,2924,2207014.4899999998,paid,158,2025-10-01 20:27:42.975774,2025-11-25 20:27:42.983698,0
ORD-20250158,218,710,1512330.54,done,159,2025-11-16 20:27:42.983249,2025-11-25 20:27:42.989190,0
ORD-20250159,486,1004,1626591.2700000003,done,160,2025-10-11 20:27:42.988806,2025-11-25 20:27:42.994278,0
ORD-20250160,11,2029,828830.37,done,161,2025-11-23 20:27:42.993926,2025-11-25 20:27:42.999457,0
ORD-20250161,5,1607,1646042.83,done,162,2025-10-18 20:27:42.999099,2025-11-25 20:27:43.002264,0
ORD-20250162,167,2485,431825.73,done,163,2025-10-11 20:27:43.001913,2025-11-25 20:27:43.004371,0
ORD-20250163,464,4723,2020548.3800000001,done,164,2025-11-08 20:27:43.004001,2025-11-25 20:27:43.009541,0
ORD-20250164,13,1781,1655869.73,done,165,2025-10-15 20:27:43.009063,2025-11-25 20:27:43.013519,0
ORD-20250165,529,2509,15588.24,shipped,166,2025-10-28 20:27:43.013141,2025-11-25 20:27:43.015885,0
ORD-20250166,489,3019,2078896.8399999999,done,167,2025-09-30 20:27:43.015503,2025-11-25 20:27:43.019904,0
ORD-20250167,114,4586,280735.26,done,168,2025-09-28 20:27:43.019528,2025-11-25 20:27:43.022033,0
ORD-20250168,268,2478,1173300.1500000001,done,169,2025-11-01 20:27:43.021673,2025-11-25 20:27:43.024913,0
ORD-20250169,385,2205,713306.7,paid,170,2025-10-11 20:27:43.024556,2025-11-25 20:27:43.027051,0
ORD-20250170,75,3908,30031.68,done,171,2025-11-25 20:27:43.026682,2025-11-25 20:27:43.028407,0
ORD-20250171,162,4715,718328.62,done,172,2025-11-25 20:27:43.027574,2025-11-25 20:27:43.030784,0
ORD-20250172,269,1325,942174.3699999999,done,173,2025-10-27 20:27:43.030395,2025-11-25 20:27:43.035758,0
ORD-20250173,350,4600,606846.57,done,174,2025-10-08 20:27:43.035306,2025-11-25 20:27:43.037923,0
ORD-20250174,254,4929,1038363.33,done,175,2025-11-14 20:27:43.037541,2025-11-25 20:27:43.043551,0
ORD-20250175,13,3913,2129979.09,done,176,2025-11-09 20:27:43.043124,2025-11-25 20:27:43.049888,0
ORD-20250176,575,3997,2723634.17,pending,177,2025-10-22 20:27:43.049534,2025-11-25 20:27:43.054566,0
ORD-20250177,580,3357,1481498.0300000003,shipped,178,2025-11-18 20:27:43.054035,2025-11-25 20:27:43.059101,0
ORD-20250178,374,1359,1760969.5100000002,done,179,2025-10-05 20:27:43.058675,2025-11-25 20:27:43.064888,0
ORD-20250179,538,4343,542183.54,shipped,180,2025-10-13 20:27:43.064552,2025-11-25 20:27:43.067927,0
ORD-20250180,62,4319,870364.7599999999,done,181,2025-11-14 20:27:43.067581,2025-11-25 20:27:43.072594,0
ORD-20250181,364,878,942496.6599999999,shipped,182,2025-11-20 20:27:43.072266,2025-11-25 20:27:43.077783,0
ORD-20250182,592,766,2652706.98,pending,183,2025-11-12 20:27:43.077270,2025-11-25 20:27:43.083715,0
ORD-20250183,187,2822,1375586.9200000002,pending,184,2025-10-27 20:27:43.083289,2025-11-25 20:27:43.089155,0
ORD-20250184,91,3036,1657497.7100000002,done,185,2025-11-13 20:27:43.088823,2025-11-25 20:27:43.093423,0
ORD-20250185,472,149,2496869.46,shipped,186,2025-10-26 20:27:43.093101,2025-11-25 20:27:43.098495,0
ORD-20250186,112,3325,729885.61,paid,187,2025-10-02 20:27:43.098153,2025-11-25 20:27:43.102961,0
ORD-20250187,296,4733,931823.06,pending,188,2025-11-25 20:27:43.102529,2025-11-25 20:27:43.105157,0
ORD-20250188,47,2137,577462.0,pending,189,2025-10-09 20:27:43.104769,2025-11-25 20:27:43.108687,0
ORD-20250189,580,229,1501397.29,paid,190,2025-10-27 20:27:43.108354,2025-11-25 20:27:43.111943,0
ORD-20250190,422,2165,672641.32,paid,191,2025-10-07 20:27:43.111580,2025-11-25 20:27:43.114810,0
ORD-20250191,418,2182,1618984.15,done,192,2025-10-24 20:27:43.114419,2025-11-25 20:27:43.119714,0
ORD-20250192,458,70,4033.62,done,193,2025-11-11 20:27:43.119317,2025-11-25 20:27:43.121143,0
ORD-20250193,161,200,1611223.6,pending,194,2025-11-22 20:27:43.120260,2025-11-25 20:27:43.126904,0
ORD-20250194,469,151,1337437.3599999999,pending,195,2025-11-01 20:27:43.126542,2025-11-25 20:27:43.130582,0
ORD-20250195,285,3594,1326658.82,paid,196,2025-10-22 20:27:43.130228,2025-11-25 20:27:43.132606,0
ORD-20250196,455,2821,1805343.4900000002,done,197,2025-11-18 20:27:43.132267,2025-11-25 20:27:43.138083,0
ORD-20250197,208,4833,1568594.22,paid,198,2025-11-15 20:27:43.137735,2025-11-25 20:27:43.141824,0
ORD-20250198,558,1557,16257.6,shipped,199,2025-11-24 20:27:43.141472,2025-11-25 20:27:43.143136,0
ORD-20250199,91,106,607503.66,done,200,2025-11-24 20:27:43.142333,2025-11-25 20:27:43.145761,0
ORD-20250200,423,2994,943165.13,done,201,2025-11-04 20:27:43.181781,2025-11-25 20:27:43.188983,0
ORD-20250201,144,2949,2322644.15,done,202,2025-10-14 20:27:43.188587,2025-11-25 20:27:43.195813,0
ORD-20250202,220,3959,535960.64,shipped,203,2025-11-22 20:27:43.195427,2025-11-25 20:27:43.197237,0
ORD-20250203,330,4203,422369.60000000003,done,204,2025-10-06 20:27:43.196354,2025-11-25 20:27:43.199444,0
ORD-20250204,114,3246,1034662.2200000001,done,205,2025-10-06 20:27:43.199076,2025-11-25 20:27:43.201652,0
ORD-20250205,524,2013,886809.3999999999,shipped,206,2025-10-08 20:27:43.201275,2025-11-25 20:27:43.206974,0
ORD-20250206,165,4277,551208.48,done,207,2025-11-07 20:27:43.206606,2025-11-25 20:27:43.209294,0
ORD-20250207,482,1322,186033.95,shipped,208,2025-11-21 20:27:43.208760,2025-11-25 20:27:43.212496,0
ORD-20250208,199,4644,1498676.1199999999,shipped,209,2025-11-02 20:27:43.212137,2025-11-25 20:27:43.216284,0
ORD-20250209,418,808,1040205.48,shipped,210,2025-11-24 20:27:43.215950,2025-11-25 20:27:43.221101,0
ORD-20250210,220,4456,61796.1,done,211,2025-11-25 20:27:43.220410,2025-11-25 20:27:43.221174,0
ORD-20250211,459,930,572841.8099999999,pending,212,2025-10-18 20:27:43.220491,2025-11-25 20:27:43.223433,0
ORD-20250212,567,2789,859594.25,done,213,2025-10-11 20:27:43.223112,2025-11-25 20:27:43.226051,0
ORD-20250213,255,1842,1513419.97,done,214,2025-10-17 20:27:43.225697,2025-11-25 20:27:43.229463,0
ORD-20250214,11,1855,1389885.49,pending,215,2025-10-10 20:27:43.229140,2025-11-25 20:27:43.235202,0
ORD-20250215,144,807,992667.42,paid,216,2025-10-15 20:27:43.234832,2025-11-25 20:27:43.239599,0
ORD-20250216,223,579,3031151.0599999996,done,217,2025-10-08 20:27:43.239094,2025-11-25 20:27:43.245832,0
ORD-20250217,472,452,3359015.64,done,218,2025-10-29 20:27:43.245498,2025-11-25 20:27:43.252162,0
ORD-20250218,246,1784,1351245.0199999998,done,219,2025-10-28 20:27:43.251834,2025-11-25 20:27:43.258723,0
ORD-20250219,132,344,304041.14,pending,220,2025-10-31 20:27:43.258366,2025-11-25 20:27:43.261858,0
ORD-20250220,435,1691,298239.68,done,221,2025-09-30 20:27:43.261502,2025-11-25 20:27:43.264139,0
ORD-20250221,163,653,175425.91999999998,shipped,222,2025-09-30 20:27:43.263771,2025-11-25 20:27:43.268147,0
ORD-20250222,550,3930,185647.95,done,223,2025-10-29 20:27:43.267722,2025-11-25 20:27:43.269681,0
ORD-20250223,293,2048,826143.12,done,224,2025-11-10 20:27:43.268739,2025-11-25 20:27:43.272192,0
ORD-20250224,39,2055,1630143.2000000002,pending,225,2025-11-25 20:27:43.271786,2025-11-25 20:27:43.277354,0
ORD-20250225,284,1673,495107.64,done,226,2025-10-24 20:27:43.276961,2025-11-25 20:27:43.279689,0
ORD-20250226,257,799,575934.52,pending,227,2025-11-22 20:27:43.279320,2025-11-25 20:27:43.282757,0
ORD-20250227,141,17,2536489.8600000003,pending,228,2025-10-31 20:27:43.282383,2025-11-25 20:27:43.289907,0
ORD-20250228,115,4926,1884163.61,done,229,2025-10-09 20:27:43.289541,2025-11-25 20:27:43.293236,0
ORD-20250229,247,2311,1487274.93,paid,230,2025-10-24 20:27:43.292911,2025-11-25 20:27:43.298947,0
ORD-20250230,135,285,1060427.06,done,231,2025-10-24 20:27:43.298543,2025-11-25 20:27:43.302545,0
ORD-20250231,598,4411,230129.94,done,232,2025-10-02 20:27:43.302200,2025-11-25 20:27:43.303847,0
ORD-20250232,529,2969,745716.66,done,233,2025-10-23 20:27:43.303023,2025-11-25 20:27:43.306356,0
ORD-20250233,322,1116,661808.55,pending,234,2025-11-03 20:27:43.306024,2025-11-25 20:27:43.308945,0
ORD-20250234,570,3257,952913.0900000001,paid,235,2025-11-22 20:27:43.308592,2025-11-25 20:27:43.312589,0
ORD-20250235,580,461,2486462.1599999997,pending,236,2025-11-09 20:27:43.312250,2025-11-25 20:27:43.318765,0
ORD-20250236,62,3580,696275.0,done,237,2025-11-09 20:27:43.318393,2025-11-25 20:27:43.321086,0
ORD-20250237,290,3779,1037656.51,pending,238,2025-10-25 20:27:43.320701,2025-11-25 20:27:43.324426,0
ORD-20250238,397,103,107056.34999999999,shipped,239,2025-09-29 20:27:43.324053,2025-11-25 20:27:43.326775,0
ORD-20250239,327,4128,2476346.94,shipped,240,2025-10-26 20:27:43.326408,2025-11-25 20:27:43.332773,0
