product_id,warehouse_id,quantity,shelf_location,id,created_at,updated_at,is_deleted
25,5,332,,44,2025-11-25 20:27:31.401930,2025-11-25 20:27:31.401931,0
25,3,1073,,45,2025-11-25 20:27:31.401932,2025-11-25 20:27:31.401933,0
26,2,1172,,46,2025-11-25 20:27:31.401934,2025-11-25 20:27:31.401935,0
27,6,461,,47,2025-11-25 20:27:31.401936,2025-11-25 20:27:31.401937,0
27,5,722,,48,2025-11-25 20:27:31.401938,2025-11-25 20:27:31.401939,0
27,2,154,,49,2025-11-25 20:27:31.401940,2025-11-25 20:27:31.401941,0
28,2,1993,,50,2025-11-25 20:27:31.401942,2025-11-25 20:27:31.401943,0
28,5,1153,,51,2025-11-25 20:27:31.401944,2025-11-25 20:27:31.401945,0
29,2,1798,,52,2025-11-25 20:27:31.401946,2025-11-25 20:27:31.401947,0
29,1,1419,,53,2025-11-25 20:27:31.401948,2025-11-25 20:27:31.401949,0
30,3,1312,,54,2025-11-25 20:27:31.401950,2025-11-25 20:27:31.401951,0
30,1,95,,55,2025-11-25 20:27:31.401952,2025-11-25 20:27:31.401953,0
30,5,1972,,56,2025-11-25 20:27:31.401954,2025-11-25 20:27:31.401955,0
31,6,1734,,57,2025-11-25 20:27:31.401956,2025-11-25 20:27:31.401957,0
32,4,1865,,58,2025-11-25 20:27:31.401958,2025-11-25 20:27:31.401959,0
32,2,853,,59,2025-11-25 20:27:31.401960,2025-11-25 20:27:31.401961,0
33,5,183,,60,2025-11-25 20:27:31.401962,2025-11-25 20:27:31.401963,0
33,1,571,,61,2025-11-25 20:27:31.401964,2025-11-25 20:27:31.401965,0
34,1,1849,,62,2025-11-25 20:27:31.401966,2025-11-25 20:27:31.401967,0
34,2,997,,63,2025-11-25 20:27:31.401968,2025-11-25 20:27:31.401969,0
35,2,425,,64,2025-11-25 20:27:31.401970,2025-11-25 20:27:31.401971,0
35,5,394,,65,2025-11-25 20:27:31.401972,2025-11-25 20:27:31.401973,0
36,4,1659,,66,2025-11-25 20:27:31.401974,2025-11-25 20:27:31.401975,0
36,6,1193,,67,2025-11-25 20:27:31.401976,2025-11-25 20:27:31.401977,0
36,1,1450,,68,2025-11-25 20:27:31.401978,2025-11-25 20:27:31.401981,0
37,3,779,,69,2025-11-25 20:27:31.401982,2025-11-25 20:27:31.401983,0
38,3,1885,,70,2025-11-25 20:27:31.401984,2025-11-25 20:27:31.401985,0
38,5,1015,,71,2025-11-25 20:27:31.401986,2025-11-25 20:27:31.401987,0
38,6,456,,72,2025-11-25 20:27:31.401988,2025-11-25 20:27:31.401989,0
39,5,646,,73,2025-11-25 20:27:31.401990,2025-11-25 20:27:31.401991,0
39,2,1990,,74,2025-11-25 20:27:31.401992,2025-11-25 20:27:31.401993,0
40,1,1977,,75,2025-11-25 20:27:31.401994,2025-11-25 20:27:31.401995,0
40,2,1344,,76,2025-11-25 20:27:31.401996,2025-11-25 20:27:31.401997,0
41,6,1159,,77,2025-11-25 20:27:31.401998,2025-11-25 20:27:31.401999,0
42,2,591,,78,2025-11-25 20:27:31.402000,2025-11-25 20:27:31.402001,0
42,1,1268,,79,2025-11-25 20:27:31.402002,2025-11-25 20:27:31.402003,0
42,4,590,,80,2025-11-25 20:27:31.402004,2025-11-25 20:27:31.402005,0
43,5,1451,,81,2025-11-25 20:27:31.402006,2025-11-25 20:27:31.402007,0
43,3,192,,82,2025-11-25 20:27:31.402008,2025-11-25 20:27:31.402009,0
43,4,1855,,83,2025-11-25 20:27:31.402010,2025-11-25 20:27:31.402011,0
44,2,72,,84,2025-11-25 20:27:31.402012,2025-11-25 20:27:31.402013,0
44,1,428,,85,2025-11-25 20:27:31.402014,2025-11-25 20:27:31.402015,0
45,3,1332,,86,2025-11-25 20:27:31.402016,2025-11-25 20:27:31.402017,0
45,4,54,,87,2025-11-25 20:27:31.402018,2025-11-25 20:27:31.402019,0
46,2,217,,88,2025-11-25 20:27:31.402020,2025-11-25 20:27:31.402021,0
47,2,275,,89,2025-11-25 20:27:31.402023,2025-11-25 20:27:31.402024,0
47,1,1879,,90,2025-11-25 20:27:31.402025,2025-11-25 20:27:31.402026,0
48,1,305,,91,2025-11-25 20:27:31.402027,2025-11-25 20:27:31.402028,0
49,3,1774,,92,2025-11-25 20:27:31.402029,2025-11-25 20:27:31.402030,0
49,5,98,,93,2025-11-25 20:27:31.402031,2025-11-25 20:27:31.402032,0
49,1,1280,,94,2025-11-25 20:27:31.402033,2025-11-25 20:27:31.402034,0
50,3,872,,95,2025-11-25 20:27:31.402035,2025-11-25 20:27:31.402036,0
50,4,1231,,96,2025-11-25 20:27:31.402037,2025-11-25 20:27:31.402038,0
51,3,1789,,97,2025-11-25 20:27:31.402039,2025-11-25 20:27:31.402040,0
52,4,155,,98,2025-11-25 20:27:31.402041,2025-11-25 20:27:31.402042,0
52,1,266,,99,2025-11-25 20:27:31.402043,2025-11-25 20:27:31.402044,0
53,6,1781,,100,2025-11-25 20:27:31.402045,2025-11-25 20:27:31.402046,0
54,6,53,,101,2025-11-25 20:27:31.402047,2025-11-25 20:27:31.402048,0
54,4,1884,,102,2025-11-25 20:27:31.402049,2025-11-25 20:27:31.402050,0
54,3,298,,103,2025-11-25 20:27:31.402051,2025-11-25 20:27:31.402052,0
55,4,1867,,104,2025-11-25 20:27:31.402053,2025-11-25 20:27:31.402054,0
56,5,937,,105,2025-11-25 20:27:31.402055,2025-11-25 20:27:31.402056,0
56,1,1967,,106,2025-11-25 20:27:31.402057,2025-11-25 20:27:31.402058,0
56,2,613,,107,2025-11-25 20:27:31.402059,2025-11-25 20:27:31.402060,0
57,1,852,,108,2025-11-25 20:27:31.402061,2025-11-25 20:27:31.402062,0
57,5,1058,,109,2025-11-25 20:27:31.402063,2025-11-25 20:27:31.402064,0
57,3,614,,110,2025-11-25 20:27:31.402065,2025-11-25 20:27:31.402066,0
58,2,508,,111,2025-11-25 20:27:31.402069,2025-11-25 20:27:31.402070,0
58,1,994,,112,2025-11-25 20:27:31.402071,2025-11-25 20:27:31.402072,0
59,2,1523,,113,2025-11-25 20:27:31.402073,2025-11-25 20:27:31.402074,0
59,1,472,,114,2025-11-25 20:27:31.402075,2025-11-25 20:27:31.402076,0
59,6,1826,,115,2025-11-25 20:27:31.402077,2025-11-25 20:27:31.402078,0
60,5,431,,116,2025-11-25 20:27:31.402079,2025-11-25 20:27:31.402080,0
60,2,853,,117,2025-11-25 20:27:31.402081,2025-11-25 20:27:31.402082,0
60,6,1829,,118,2025-11-25 20:27:31.402083,2025-11-25 20:27:31.402084,0
61,1,1334,,119,2025-11-25 20:27:31.402085,2025-11-25 20:27:31.402086,0
62,5,1448,,120,2025-11-25 20:27:31.402087,2025-11-25 20:27:31.402088,0
62,2,132,,121,2025-11-25 20:27:31.402089,2025-11-25 20:27:31.402090,0
63,2,1415,,122,2025-11-25 20:27:31.402091,2025-11-25 20:27:31.402092,0
64,2,1359,,123,2025-11-25 20:27:31.402093,2025-11-25 20:27:31.402094,0
65,3,735,,124,2025-11-25 20:27:31.402095,2025-11-25 20:27:31.402096,0
65,6,1950,,125,2025-11-25 20:27:31.402097,2025-11-25 20:27:31.402098,0
65,2,1117,,126,2025-11-25 20:27:31.402099,2025-11-25 20:27:31.402100,0
66,4,1358,,127,2025-11-25 20:27:31.402101,2025-11-25 20:27:31.402102,0
66,1,989,,128,2025-11-25 20:27:31.402103,2025-11-25 20:27:31.402104,0
67,3,1933,,129,2025-11-25 20:27:31.402105,2025-11-25 20:27:31.402106,0
67,5,1557,,130,2025-11-25 20:27:31.402107,2025-11-25 20:27:31.402108,0
68,4,1003,,131,2025-11-25 20:27:31.402109,2025-11-25 20:27:31.402110,0
68,1,1004,,132,2025-11-25 20:27:31.402111,2025-11-25 20:27:31.402112,0
69,5,1203,,133,2025-11-25 20:27:31.402113,2025-11-25 20:27:31.402114,0
70,5,1555,,134,2025-11-25 20:27:31.402115,2025-11-25 20:27:31.402116,0
70,6,831,,135,2025-11-25 20:27:31.402117,2025-11-25 20:27:31.402118,0
70,1,1811,,136,2025-11-25 20:27:31.402119,2025-11-25 20:27:31.402120,0
71,5,737,,137,2025-11-25 20:27:31.402121,2025-11-25 20:27:31.402122,0
71,4,1161,,138,2025-11-25 20:27:31.402124,2025-11-25 20:27:31.402124,0
72,6,725,,139,2025-11-25 20:27:31.402126,2025-11-25 20:27:31.402126,0
72,2,300,,140,2025-11-25 20:27:31.402128,2025-11-25 20:27:31.402128,0
73,2,566,,141,2025-11-25 20:27:31.402130,2025-11-25 20:27:31.402131,0
73,1,1223,,142,2025-11-25 20:27:31.402132,2025-11-25 20:27:31.402133,0
74,5,777,,143,2025-11-25 20:27:31.402134,2025-11-25 20:27:31.402135,0
75,5,1962,,144,2025-11-25 20:27:31.402136,2025-11-25 20:27:31.402137,0
75,4,182,,145,2025-11-25 20:27:31.402138,2025-11-25 20:27:31.402139,0
76,6,352,,146,2025-11-25 20:27:31.402140,2025-11-25 20:27:31.402141,0
77,6,1017,,147,2025-11-25 20:27:31.402142,2025-11-25 20:27:31.402143,0
78,1,1543,,148,2025-11-25 20:27:31.402144,2025-11-25 20:27:31.402145,0
78,6,152,,149,2025-11-25 20:27:31.402146,2025-11-25 20:27:31.402147,0
79,6,93,,150,2025-11-25 20:27:31.402148,2025-11-25 20:27:31.402149,0
80,5,57,,151,2025-11-25 20:27:31.402150,2025-11-25 20:27:31.402151,0
81,5,165,,152,2025-11-25 20:27:31.402152,2025-11-25 20:27:31.402153,0
81,4,409,,153,2025-11-25 20:27:31.402154,2025-11-25 20:27:31.402156,0
82,4,516,,154,2025-11-25 20:27:31.402157,2025-11-25 20:27:31.402158,0
82,1,1338,,155,2025-11-25 20:27:31.402159,2025-11-25 20:27:31.402160,0
83,1,936,,156,2025-11-25 20:27:31.402161,2025-11-25 20:27:31.402162,0
83,2,440,,157,2025-11-25 20:27:31.402163,2025-11-25 20:27:31.402164,0
83,6,1328,,158,2025-11-25 20:27:31.402165,2025-11-25 20:27:31.402166,0
84,1,419,,159,2025-11-25 20:27:31.402167,2025-11-25 20:27:31.402168,0
84,6,1229,,160,2025-11-25 20:27:31.402169,2025-11-25 20:27:31.402170,0
84,5,1336,,161,2025-11-25 20:27:31.402171,2025-11-25 20:27:31.402172,0
85,3,1440,,162,2025-11-25 20:27:31.402174,2025-11-25 20:27:31.402174,0
85,2,60,,163,2025-11-25 20:27:31.402176,2025-11-25 20:27:31.402176,0
85,5,942,,164,2025-11-25 20:27:31.402178,2025-11-25 20:27:31.402179,0
86,6,818,,165,2025-11-25 20:27:31.402180,2025-11-25 20:27:31.402181,0
86,2,1687,,166,2025-11-25 20:27:31.402182,2025-11-25 20:27:31.402183,0
86,3,1317,,167,2025-11-25 20:27:31.402184,2025-11-25 20:27:31.402185,0
87,2,1030,,168,2025-11-25 20:27:31.402186,2025-11-25 20:27:31.402187,0
87,3,1253,,169,2025-11-25 20:27:31.402188,2025-11-25 20:27:31.402189,0
87,4,1055,,170,2025-11-25 20:27:31.402190,2025-11-25 20:27:31.402191,0
88,6,1277,,171,2025-11-25 20:27:31.402192,2025-11-25 20:27:31.402193,0
88,2,966,,172,2025-11-25 20:27:31.402194,2025-11-25 20:27:31.402195,0
88,1,1533,,173,2025-11-25 20:27:31.402196,2025-11-25 20:27:31.402197,0
89,1,56,,174,2025-11-25 20:27:31.402198,2025-11-25 20:27:31.402199,0
90,1,880,,175,2025-11-25 20:27:31.402200,2025-11-25 20:27:31.402201,0
90,2,355,,176,2025-11-25 20:27:31.402202,2025-11-25 20:27:31.402203,0
91,4,1047,,177,2025-11-25 20:27:31.402204,2025-11-25 20:27:31.402205,0
91,1,1867,,178,2025-11-25 20:27:31.402206,2025-11-25 20:27:31.402207,0
91,3,779,,179,2025-11-25 20:27:31.402208,2025-11-25 20:27:31.402209,0
92,2,1717,,180,2025-11-25 20:27:31.402210,2025-11-25 20:27:31.402211,0
92,4,1485,,181,2025-11-25 20:27:31.402212,2025-11-25 20:27:31.402213,0
92,5,1176,,182,2025-11-25 20:27:31.402214,2025-11-25 20:27:31.402215,0
93,6,942,,183,2025-11-25 20:27:31.402216,2025-11-25 20:27:31.402217,0
93,2,482,,184,2025-11-25 20:27:31.402218,2025-11-25 20:27:31.402219,0
94,6,1208,,185,2025-11-25 20:27:31.402220,2025-11-25 20:27:31.402221,0
95,1,449,,186,2025-11-25 20:27:31.402222,2025-11-25 20:27:31.402223,0
95,4,757,,187,2025-11-25 20:27:31.402224,2025-11-25 20:27:31.402225,0
96,5,1224,,188,2025-11-25 20:27:31.402226,2025-11-25 20:27:31.402227,0
96,4,713,,189,2025-11-25 20:27:31.402228,2025-11-25 20:27:31.402229,0
97,1,446,,190,2025-11-25 20:27:31.402230,2025-11-25 20:27:31.402231,0
97,5,1659,,191,2025-11-25 20:27:31.402233,2025-11-25 20:27:31.402234,0
98,6,437,,192,2025-11-25 20:27:31.402235,2025-11-25 20:27:31.402236,0
98,3,1747,,193,2025-11-25 20:27:31.402237,2025-11-25 20:27:31.402238,0
98,5,279,,194,2025-11-25 20:27:31.402239,2025-11-25 20:27:31.402240,0
99,2,1710,,195,2025-11-25 20:27:31.402241,2025-11-25 20:27:31.402242,0
99,3,191,,196,2025-11-25 20:27:31.402243,2025-11-25 20:27:31.402244,0
100,3,1413,,197,2025-11-25 20:27:31.402245,2025-11-25 20:27:31.402246,0
101,1,1030,,198,2025-11-25 20:27:31.498557,2025-11-25 20:27:31.498560,0
102,4,1369,,199,2025-11-25 20:27:31.498562,2025-11-25 20:27:31.498563,0
103,3,1885,,200,2025-11-25 20:27:31.498565,2025-11-25 20:27:31.498566,0
103,5,1410,,201,2025-11-25 20:27:31.498567,2025-11-25 20:27:31.498568,0
104,3,512,,202,2025-11-25 20:27:31.498569,2025-11-25 20:27:31.498570,0
104,1,253,,203,2025-11-25 20:27:31.498571,2025-11-25 20:27:31.498572,0
105,4,1568,,204,2025-11-25 20:27:31.498573,2025-11-25 20:27:31.498574,0
105,3,1573,,205,2025-11-25 20:27:31.498575,2025-11-25 20:27:31.498576,0
106,3,1099,,206,2025-11-25 20:27:31.498577,2025-11-25 20:27:31.498578,0
107,6,468,,207,2025-11-25 20:27:31.498579,2025-11-25 20:27:31.498580,0
107,4,298,,208,2025-11-25 20:27:31.498581,2025-11-25 20:27:31.498582,0
107,1,554,,209,2025-11-25 20:27:31.498583,2025-11-25 20:27:31.498584,0
108,3,1784,,210,2025-11-25 20:27:31.498585,2025-11-25 20:27:31.498586,0
108,5,1736,,211,2025-11-25 20:27:31.498587,2025-11-25 20:27:31.498588,0
109,2,1519,,212,2025-11-25 20:27:31.498589,2025-11-25 20:27:31.498590,0
110,3,1178,,213,2025-11-25 20:27:31.498591,2025-11-25 20:27:31.498592,0
110,5,1716,,214,2025-11-25 20:27:31.498593,2025-11-25 20:27:31.498594,0
110,1,1504,,215,2025-11-25 20:27:31.498595,2025-11-25 20:27:31.498596,0
111,5,1199,,216,2025-11-25 20:27:31.498597,2025-11-25 20:27:31.498598,0
111,6,694,,217,2025-11-25 20:27:31.498599,2025-11-25 20:27:31.498600,0
111,4,1088,,218,2025-11-25 20:27:31.498601,2025-11-25 20:27:31.498602,0
112,2,1794,,219,2025-11-25 20:27:31.498603,2025-11-25 20:27:31.498604,0
112,1,1509,,220,2025-11-25 20:27:31.498605,2025-11-25 20:27:31.498606,0
113,2,1666,,221,2025-11-25 20:27:31.498607,2025-11-25 20:27:31.498608,0
113,5,1582,,222,2025-11-25 20:27:31.498609,2025-11-25 20:27:31.498610,0
113,4,1712,,223,2025-11-25 20:27:31.498611,2025-11-25 20:27:31.498612,0
114,2,1222,,224,2025-11-25 20:27:31.498613,2025-11-25 20:27:31.498614,0
115,3,1565,,225,2025-11-25 20:27:31.498615,2025-11-25 20:27:31.498616,0
116,3,1469,,226,2025-11-25 20:27:31.498617,2025-11-25 20:27:31.498618,0
116,5,317,,227,2025-11-25 20:27:31.498619,2025-11-25 20:27:31.498620,0
116,1,946,,228,2025-11-25 20:27:31.498621,2025-11-25 20:27:31.498622,0
117,1,1582,,229,2025-11-25 20:27:31.498623,2025-11-25 20:27:31.498624,0
117,3,603,,230,2025-11-25 20:27:31.498625,2025-11-25 20:27:31.498626,0
117,2,237,,231,2025-11-25 20:27:31.498627,2025-11-25 20:27:31.498628,0
118,3,1259,,232,2025-11-25 20:27:31.498629,2025-11-25 20:27:31.498630,0
118,2,1877,,233,2025-11-25 20:27:31.498631,2025-11-25 20:27:31.498632,0
119,3,342,,234,2025-11-25 20:27:31.498633,2025-11-25 20:27:31.498634,0
119,1,461,,235,2025-11-25 20:27:31.498635,2025-11-25 20:27:31.498636,0
119,5,1695,,236,2025-11-25 20:27:31.498637,2025-11-25 20:27:31.498638,0
120,1,1142,,237,2025-11-25 20:27:31.498639,2025-11-25 20:27:31.498640,0
120,4,1253,,238,2025-11-25 20:27:31.498641,2025-11-25 20:27:31.498642,0
120,6,116,,239,2025-11-25 20:27:31.498643,2025-11-25 20:27:31.498644,0
121,2,1693,,240,2025-11-25 20:27:31.498645,2025-11-25 20:27:31.498646,0
121,1,1475,,241,2025-11-25 20:27:31.498647,2025-11-25 20:27:31.498648,0
122,4,966,,242,2025-11-25 20:27:31.498649,2025-11-25 20:27:31.498650,0
122,3,442,,243,2025-11-25 20:27:31.498651,2025-11-25 20:27:31.498652,0
122,1,1449,,244,2025-11-25 20:27:31.498653,2025-11-25 20:27:31.498654,0
123,5,1084,,245,2025-11-25 20:27:31.498655,2025-11-25 20:27:31.498656,0
123,2,1856,,246,2025-11-25 20:27:31.498657,2025-11-25 20:27:31.498658,0
124,5,159,,247,2025-11-25 20:27:31.498659,2025-11-25 20:27:31.498660,0
124,2,1135,,248,2025-11-25 20:27:31.498661,2025-11-25 20:27:31.498662,0
124,3,152,,249,2025-11-25 20:27:31.498663,2025-11-25 20:27:31.498664,0
125,4,1384,,250,2025-11-25 20:27:31.498665,2025-11-25 20:27:31.498666,0
125,2,1421,,251,2025-11-25 20:27:31.498667,2025-11-25 20:27:31.498668,0
126,3,81,,252,2025-11-25 20:27:31.498669,2025-11-25 20:27:31.498670,0
126,5,357,,253,2025-11-25 20:27:31.498671,2025-11-25 20:27:31.498672,0
127,6,1711,,254,2025-11-25 20:27:31.498673,2025-11-25 20:27:31.498674,0
128,5,1797,,255,2025-11-25 20:27:31.498675,2025-11-25 20:27:31.498676,0
128,6,1339,,256,2025-11-25 20:27:31.498677,2025-11-25 20:27:31.498678,0
129,1,512,,257,2025-11-25 20:27:31.498679,2025-11-25 20:27:31.498680,0
129,5,983,,258,2025-11-25 20:27:31.498681,2025-11-25 20:27:31.498682,0
130,6,582,,259,2025-11-25 20:27:31.498683,2025-11-25 20:27:31.498684,0
130,4,1424,,260,2025-11-25 20:27:31.498685,2025-11-25 20:27:31.498686,0
130,5,553,,261,2025-11-25 20:27:31.498687,2025-11-25 20:27:31.498688,0
131,4,740,,262,2025-11-25 20:27:31.498689,2025-11-25 20:27:31.498690,0
131,3,63,,263,2025-11-25 20:27:31.498691,2025-11-25 20:27:31.498692,0
131,5,1015,,264,2025-11-25 20:27:31.498693,2025-11-25 20:27:31.498694,0
132,1,1522,,265,2025-11-25 20:27:31.498695,2025-11-25 20:27:31.498696,0
132,5,115,,266,2025-11-25 20:27:31.498697,2025-11-25 20:27:31.498698,0
132,4,1216,,267,2025-11-25 20:27:31.498699,2025-11-25 20:27:31.498700,0
133,5,1391,,268,2025-11-25 20:27:31.498701,2025-11-25 20:27:31.498702,0
133,3,1859,,269,2025-11-25 20:27:31.498703,2025-11-25 20:27:31.498704,0
133,1,1959,,270,2025-11-25 20:27:31.498705,2025-11-25 20:27:31.498706,0
134,4,1336,,271,2025-11-25 20:27:31.498707,2025-11-25 20:27:31.498708,0
134,3,1909,,272,2025-11-25 20:27:31.498709,2025-11-25 20:27:31.498710,0
135,5,1900,,273,2025-11-25 20:27:31.498711,2025-11-25 20:27:31.498712,0
135,4,902,,274,2025-11-25 20:27:31.498713,2025-11-25 20:27:31.498714,0
136,2,1033,,275,2025-11-25 20:27:31.498715,2025-11-25 20:27:31.498716,0
136,3,963,,276,2025-11-25 20:27:31.498717,2025-11-25 20:27:31.498718,0
136,5,480,,277,2025-11-25 20:27:31.498719,2025-11-25 20:27:31.498720,0
137,2,799,,278,2025-11-25 20:27:31.498721,2025-11-25 20:27:31.498722,0
137,1,1237,,279,2025-11-25 20:27:31.498723,2025-11-25 20:27:31.498724,0
138,1,1851,,280,2025-11-25 20:27:31.498725,2025-11-25 20:27:31.498726,0
138,4,1366,,281,2025-11-25 20:27:31.498727,2025-11-25 20:27:31.498728,0
139,2,88,,282,2025-11-25 20:27:31.498729,2025-11-25 20:27:31.498730,0
139,4,585,,283,2025-11-25 20:27:31.498731,2025-11-25 20:27:31.498732,0
139,3,366,,284,2025-11-25 20:27:31.498733,2025-11-25 20:27:31.498734,0
140,4,84,,285,2025-11-25 20:27:31.498735,2025-11-25 20:27:31.498736,0
141,4,610,,286,2025-11-25 20:27:31.498737,2025-11-25 20:27:31.498738,0
141,6,210,,287,2025-11-25 20:27:31.498739,2025-11-25 20:27:31.498740,0
142,3,123,,288,2025-11-25 20:27:31.498741,2025-11-25 20:27:31.498742,0
142,4,1480,,289,2025-11-25 20:27:31.498743,2025-11-25 20:27:31.498744,0
142,6,104,,290,2025-11-25 20:27:31.498745,2025-11-25 20:27:31.498746,0
143,6,959,,291,2025-11-25 20:27:31.498747,2025-11-25 20:27:31.498748,0
143,3,1601,,292,2025-11-25 20:27:31.498749,2025-11-25 20:27:31.498750,0
143,1,774,,293,2025-11-25 20:27:31.498751,2025-11-25 20:27:31.498752,0
144,6,1159,,294,2025-11-25 20:27:31.498753,2025-11-25 20:27:31.498754,0
144,1,942,,295,2025-11-25 20:27:31.498755,2025-11-25 20:27:31.498756,0
144,2,1501,,296,2025-11-25 20:27:31.498757,2025-11-25 20:27:31.498758,0
145,1,1366,,297,2025-11-25 20:27:31.498759,2025-11-25 20:27:31.498760,0
145,2,675,,298,2025-11-25 20:27:31.498761,2025-11-25 20:27:31.498762,0
145,4,648,,299,2025-11-25 20:27:31.498763,2025-11-25 20:27:31.498764,0
146,3,195,,300,2025-11-25 20:27:31.498765,2025-11-25 20:27:31.498766,0
146,2,721,,301,2025-11-25 20:27:31.498767,2025-11-25 20:27:31.498768,0
146,4,631,,302,2025-11-25 20:27:31.498769,2025-11-25 20:27:31.498770,0
147,2,272,,303,2025-11-25 20:27:31.498772,2025-11-25 20:27:31.498772,0
148,3,504,,304,2025-11-25 20:27:31.498774,2025-11-25 20:27:31.498774,0
148,6,228,,305,2025-11-25 20:27:31.498776,2025-11-25 20:27:31.498776,0
149,3,1602,,306,2025-11-25 20:27:31.498778,2025-11-25 20:27:31.498779,0
150,6,659,,307,2025-11-25 20:27:31.498780,2025-11-25 20:27:31.498781,0
151,6,1391,,308,2025-11-25 20:27:31.498782,2025-11-25 20:27:31.498783,0
151,2,394,,309,2025-11-25 20:27:31.498784,2025-11-25 20:27:31.498785,0
152,5,384,,310,2025-11-25 20:27:31.498786,2025-11-25 20:27:31.498787,0
153,1,213,,311,2025-11-25 20:27:31.498789,2025-11-25 20:27:31.498790,0
153,4,359,,312,2025-11-25 20:27:31.498791,2025-11-25 20:27:31.498792,0
154,4,809,,313,2025-11-25 20:27:31.498793,2025-11-25 20:27:31.498794,0
154,6,1902,,314,2025-11-25 20:27:31.498795,2025-11-25 20:27:31.498796,0
155,4,413,,315,2025-11-25 20:27:31.498797,2025-11-25 20:27:31.498798,0
156,3,1138,,316,2025-11-25 20:27:31.498799,2025-11-25 20:27:31.498800,0
156,4,1307,,317,2025-11-25 20:27:31.498801,2025-11-25 20:27:31.498802,0
156,6,895,,318,2025-11-25 20:27:31.498803,2025-11-25 20:27:31.498804,0
157,5,772,,319,2025-11-25 20:27:31.498805,2025-11-25 20:27:31.498806,0
