transaction_code,move_type,product_id,warehouse_id,qty_change,balance_after,operator_id,remark,id,created_at,updated_at,is_deleted
INIT-#a9c6f5-27,inbound,28,5,1153,1153,1,系统初始化入库,51,2025-11-25 20:27:31.393242,2025-11-25 20:27:31.393243,0
INIT-#e30ea6-28,inbound,29,2,1798,1798,1,系统初始化入库,52,2025-11-25 20:27:31.393244,2025-11-25 20:27:31.393245,0
INIT-#577c53-28,inbound,29,1,1419,1419,1,系统初始化入库,53,2025-11-25 20:27:31.393246,2025-11-25 20:27:31.393247,0
INIT-#b7b9fd-29,inbound,30,3,1312,1312,1,系统初始化入库,54,2025-11-25 20:27:31.393249,2025-11-25 20:27:31.393249,0
INIT-#61b20e-29,inbound,30,1,95,95,1,系统初始化入库,55,2025-11-25 20:27:31.393251,2025-11-25 20:27:31.393252,0
INIT-#b11804-29,inbound,30,5,1972,1972,1,系统初始化入库,56,2025-11-25 20:27:31.393253,2025-11-25 20:27:31.393254,0
INIT-#98b355-30,inbound,31,6,1734,1734,1,系统初始化入库,57,2025-11-25 20:27:31.393255,2025-11-25 20:27:31.393256,0
INIT-#9644bf-31,inbound,32,4,1865,1865,1,系统初始化入库,58,2025-11-25 20:27:31.393257,2025-11-25 20:27:31.393258,0
INIT-#09840a-31,inbound,32,2,853,853,1,系统初始化入库,59,2025-11-25 20:27:31.393259,2025-11-25 20:27:31.393260,0
INIT-#eb3568-32,inbound,33,5,183,183,1,系统初始化入库,60,2025-11-25 20:27:31.393261,2025-11-25 20:27:31.393262,0
INIT-#8787a8-32,inbound,33,1,571,571,1,系统初始化入库,61,2025-11-25 20:27:31.393263,2025-11-25 20:27:31.393264,0
INIT-#33c705-33,inbound,34,1,1849,1849,1,系统初始化入库,62,2025-11-25 20:27:31.393265,2025-11-25 20:27:31.393266,0
INIT-#959071-33,inbound,34,2,997,997,1,系统初始化入库,63,2025-11-25 20:27:31.393267,2025-11-25 20:27:31.393268,0
INIT-#ef6f9e-34,inbound,35,2,425,425,1,系统初始化入库,64,2025-11-25 20:27:31.393269,2025-11-25 20:27:31.393271,0
INIT-#7c5583-34,inbound,35,5,394,394,1,系统初始化入库,65,2025-11-25 20:27:31.393272,2025-11-25 20:27:31.393273,0
INIT-#173211-35,inbound,36,4,1659,1659,1,系统初始化入库,66,2025-11-25 20:27:31.393274,2025-11-25 20:27:31.393275,0
INIT-#f5d6dd-35,inbound,36,6,1193,1193,1,系统初始化入库,67,2025-11-25 20:27:31.393276,2025-11-25 20:27:31.393277,0
INIT-#434cd9-35,inbound,36,1,1450,1450,1,系统初始化入库,68,2025-11-25 20:27:31.393278,2025-11-25 20:27:31.393279,0
INIT-#92e9cb-36,inbound,37,3,779,779,1,系统初始化入库,69,2025-11-25 20:27:31.393281,2025-11-25 20:27:31.393282,0
INIT-#81f5bc-37,inbound,38,3,1885,1885,1,系统初始化入库,70,2025-11-25 20:27:31.393283,2025-11-25 20:27:31.393284,0
INIT-#de3692-37,inbound,38,5,1015,1015,1,系统初始化入库,71,2025-11-25 20:27:31.393285,2025-11-25 20:27:31.393286,0
INIT-#a7e052-37,inbound,38,6,456,456,1,系统初始化入库,72,2025-11-25 20:27:31.393287,2025-11-25 20:27:31.393288,0
INIT-#2ccbf4-38,inbound,39,5,646,646,1,系统初始化入库,73,2025-11-25 20:27:31.393290,2025-11-25 20:27:31.393290,0
INIT-#f4c7e2-38,inbound,39,2,1990,1990,1,系统初始化入库,74,2025-11-25 20:27:31.393292,2025-11-25 20:27:31.393293,0
INIT-#55e1bd-39,inbound,40,1,1977,1977,1,系统初始化入库,75,2025-11-25 20:27:31.393294,2025-11-25 20:27:31.393295,0
INIT-#3b5869-39,inbound,40,2,1344,1344,1,系统初始化入库,76,2025-11-25 20:27:31.393296,2025-11-25 20:27:31.393297,0
INIT-#c657b3-40,inbound,41,6,1159,1159,1,系统初始化入库,77,2025-11-25 20:27:31.393298,2025-11-25 20:27:31.393299,0
INIT-#1a45c3-41,inbound,42,2,591,591,1,系统初始化入库,78,2025-11-25 20:27:31.393300,2025-11-25 20:27:31.393301,0
INIT-#94b3ec-41,inbound,42,1,1268,1268,1,系统初始化入库,79,2025-11-25 20:27:31.393302,2025-11-25 20:27:31.393303,0
INIT-#2d7bf8-41,inbound,42,4,590,590,1,系统初始化入库,80,2025-11-25 20:27:31.393304,2025-11-25 20:27:31.393305,0
INIT-#4338c5-42,inbound,43,5,1451,1451,1,系统初始化入库,81,2025-11-25 20:27:31.393306,2025-11-25 20:27:31.393307,0
INIT-#181838-42,inbound,43,3,192,192,1,系统初始化入库,82,2025-11-25 20:27:31.393308,2025-11-25 20:27:31.393309,0
INIT-#6061e6-42,inbound,43,4,1855,1855,1,系统初始化入库,83,2025-11-25 20:27:31.393310,2025-11-25 20:27:31.393311,0
INIT-#0e1c6d-43,inbound,44,2,72,72,1,系统初始化入库,84,2025-11-25 20:27:31.393312,2025-11-25 20:27:31.393313,0
INIT-#67ff9a-43,inbound,44,1,428,428,1,系统初始化入库,85,2025-11-25 20:27:31.393314,2025-11-25 20:27:31.393315,0
INIT-#f97ae4-44,inbound,45,3,1332,1332,1,系统初始化入库,86,2025-11-25 20:27:31.393317,2025-11-25 20:27:31.393317,0
INIT-#9ad009-44,inbound,45,4,54,54,1,系统初始化入库,87,2025-11-25 20:27:31.393319,2025-11-25 20:27:31.393320,0
INIT-#40a57e-45,inbound,46,2,217,217,1,系统初始化入库,88,2025-11-25 20:27:31.393321,2025-11-25 20:27:31.393322,0
INIT-#52786c-46,inbound,47,2,275,275,1,系统初始化入库,89,2025-11-25 20:27:31.393323,2025-11-25 20:27:31.393324,0
INIT-#dda432-46,inbound,47,1,1879,1879,1,系统初始化入库,90,2025-11-25 20:27:31.393325,2025-11-25 20:27:31.393326,0
INIT-#085afb-47,inbound,48,1,305,305,1,系统初始化入库,91,2025-11-25 20:27:31.393327,2025-11-25 20:27:31.393328,0
INIT-#b0ebb5-48,inbound,49,3,1774,1774,1,系统初始化入库,92,2025-11-25 20:27:31.393329,2025-11-25 20:27:31.393330,0
INIT-#c5d4d5-48,inbound,49,5,98,98,1,系统初始化入库,93,2025-11-25 20:27:31.393331,2025-11-25 20:27:31.393332,0
INIT-#623ea4-48,inbound,49,1,1280,1280,1,系统初始化入库,94,2025-11-25 20:27:31.393333,2025-11-25 20:27:31.393334,0
INIT-#5a405b-49,inbound,50,3,872,872,1,系统初始化入库,95,2025-11-25 20:27:31.393335,2025-11-25 20:27:31.393336,0
INIT-#fb3df9-49,inbound,50,4,1231,1231,1,系统初始化入库,96,2025-11-25 20:27:31.393337,2025-11-25 20:27:31.393338,0
INIT-#838b40-50,inbound,51,3,1789,1789,1,系统初始化入库,97,2025-11-25 20:27:31.393339,2025-11-25 20:27:31.393340,0
INIT-#358db9-51,inbound,52,4,155,155,1,系统初始化入库,98,2025-11-25 20:27:31.393341,2025-11-25 20:27:31.393343,0
INIT-#72438d-51,inbound,52,1,266,266,1,系统初始化入库,99,2025-11-25 20:27:31.393344,2025-11-25 20:27:31.393345,0
INIT-#c8e2e7-52,inbound,53,6,1781,1781,1,系统初始化入库,100,2025-11-25 20:27:31.393346,2025-11-25 20:27:31.393347,0
INIT-#8e2fd8-53,inbound,54,6,53,53,1,系统初始化入库,101,2025-11-25 20:27:31.393348,2025-11-25 20:27:31.393349,0
INIT-#0c4f5b-53,inbound,54,4,1884,1884,1,系统初始化入库,102,2025-11-25 20:27:31.393350,2025-11-25 20:27:31.393351,0
INIT-#7ecfe4-53,inbound,54,3,298,298,1,系统初始化入库,103,2025-11-25 20:27:31.393352,2025-11-25 20:27:31.393353,0
INIT-#c4a265-54,inbound,55,4,1867,1867,1,系统初始化入库,104,2025-11-25 20:27:31.393354,2025-11-25 20:27:31.393355,0
INIT-#bcd582-55,inbound,56,5,937,937,1,系统初始化入库,105,2025-11-25 20:27:31.393356,2025-11-25 20:27:31.393357,0
INIT-#5d0947-55,inbound,56,1,1967,1967,1,系统初始化入库,106,2025-11-25 20:27:31.393358,2025-11-25 20:27:31.393359,0
INIT-#7b5b76-55,inbound,56,2,613,613,1,系统初始化入库,107,2025-11-25 20:27:31.393360,2025-11-25 20:27:31.393361,0
INIT-#dcfd32-56,inbound,57,1,852,852,1,系统初始化入库,108,2025-11-25 20:27:31.393362,2025-11-25 20:27:31.393363,0
INIT-#7dea5b-56,inbound,57,5,1058,1058,1,系统初始化入库,109,2025-11-25 20:27:31.393364,2025-11-25 20:27:31.393365,0
INIT-#5ddd1a-56,inbound,57,3,614,614,1,系统初始化入库,110,2025-11-25 20:27:31.393366,2025-11-25 20:27:31.393367,0
INIT-#13a61a-57,inbound,58,2,508,508,1,系统初始化入库,111,2025-11-25 20:27:31.393368,2025-11-25 20:27:31.393369,0
INIT-#c1a8aa-57,inbound,58,1,994,994,1,系统初始化入库,112,2025-11-25 20:27:31.393370,2025-11-25 20:27:31.393371,0
INIT-#d7a58b-58,inbound,59,2,1523,1523,1,系统初始化入库,113,2025-11-25 20:27:31.393372,2025-11-25 20:27:31.393373,0
INIT-#36a695-58,inbound,59,1,472,472,1,系统初始化入库,114,2025-11-25 20:27:31.393374,2025-11-25 20:27:31.393375,0
INIT-#09f607-58,inbound,59,6,1826,1826,1,系统初始化入库,115,2025-11-25 20:27:31.393376,2025-11-25 20:27:31.393377,0
INIT-#329527-59,inbound,60,5,431,431,1,系统初始化入库,116,2025-11-25 20:27:31.393378,2025-11-25 20:27:31.393379,0
INIT-#53bc6e-59,inbound,60,2,853,853,1,系统初始化入库,117,2025-11-25 20:27:31.393380,2025-11-25 20:27:31.393381,0
INIT-#c5d61e-59,inbound,60,6,1829,1829,1,系统初始化入库,118,2025-11-25 20:27:31.393382,2025-11-25 20:27:31.393383,0
INIT-#480584-60,inbound,61,1,1334,1334,1,系统初始化入库,119,2025-11-25 20:27:31.393384,2025-11-25 20:27:31.393385,0
INIT-#44be2d-61,inbound,62,5,1448,1448,1,系统初始化入库,120,2025-11-25 20:27:31.393386,2025-11-25 20:27:31.393387,0
INIT-#ba2664-61,inbound,62,2,132,132,1,系统初始化入库,121,2025-11-25 20:27:31.393388,2025-11-25 20:27:31.393389,0
INIT-#607e1d-62,inbound,63,2,1415,1415,1,系统初始化入库,122,2025-11-25 20:27:31.393390,2025-11-25 20:27:31.393391,0
INIT-#63c1a6-63,inbound,64,2,1359,1359,1,系统初始化入库,123,2025-11-25 20:27:31.393392,2025-11-25 20:27:31.393393,0
INIT-#dceafa-64,inbound,65,3,735,735,1,系统初始化入库,124,2025-11-25 20:27:31.393394,2025-11-25 20:27:31.393395,0
INIT-#45fd9b-64,inbound,65,6,1950,1950,1,系统初始化入库,125,2025-11-25 20:27:31.393396,2025-11-25 20:27:31.393397,0
INIT-#4cb9cf-64,inbound,65,2,1117,1117,1,系统初始化入库,126,2025-11-25 20:27:31.393399,2025-11-25 20:27:31.393400,0
INIT-#31fd32-65,inbound,66,4,1358,1358,1,系统初始化入库,127,2025-11-25 20:27:31.393401,2025-11-25 20:27:31.393402,0
INIT-#0545d0-65,inbound,66,1,989,989,1,系统初始化入库,128,2025-11-25 20:27:31.393403,2025-11-25 20:27:31.393404,0
INIT-#055e08-66,inbound,67,3,1933,1933,1,系统初始化入库,129,2025-11-25 20:27:31.393405,2025-11-25 20:27:31.393406,0
INIT-#a96987-66,inbound,67,5,1557,1557,1,系统初始化入库,130,2025-11-25 20:27:31.393407,2025-11-25 20:27:31.393408,0
INIT-#c295cc-67,inbound,68,4,1003,1003,1,系统初始化入库,131,2025-11-25 20:27:31.393409,2025-11-25 20:27:31.393410,0
INIT-#07e82a-67,inbound,68,1,1004,1004,1,系统初始化入库,132,2025-11-25 20:27:31.393411,2025-11-25 20:27:31.393412,0
INIT-#a1f172-68,inbound,69,5,1203,1203,1,系统初始化入库,133,2025-11-25 20:27:31.393413,2025-11-25 20:27:31.393414,0
INIT-#faa19b-69,inbound,70,5,1555,1555,1,系统初始化入库,134,2025-11-25 20:27:31.393415,2025-11-25 20:27:31.393416,0
INIT-#037546-69,inbound,70,6,831,831,1,系统初始化入库,135,2025-11-25 20:27:31.393417,2025-11-25 20:27:31.393418,0
INIT-#c70d4c-69,inbound,70,1,1811,1811,1,系统初始化入库,136,2025-11-25 20:27:31.393419,2025-11-25 20:27:31.393420,0
INIT-#32fdde-70,inbound,71,5,737,737,1,系统初始化入库,137,2025-11-25 20:27:31.393421,2025-11-25 20:27:31.393422,0
INIT-#278a74-70,inbound,71,4,1161,1161,1,系统初始化入库,138,2025-11-25 20:27:31.393423,2025-11-25 20:27:31.393424,0
INIT-#a7a1a6-71,inbound,72,6,725,725,1,系统初始化入库,139,2025-11-25 20:27:31.393425,2025-11-25 20:27:31.393426,0
INIT-#72e3d5-71,inbound,72,2,300,300,1,系统初始化入库,140,2025-11-25 20:27:31.393428,2025-11-25 20:27:31.393429,0
INIT-#b795d6-72,inbound,73,2,566,566,1,系统初始化入库,141,2025-11-25 20:27:31.393430,2025-11-25 20:27:31.393431,0
INIT-#40b27f-72,inbound,73,1,1223,1223,1,系统初始化入库,142,2025-11-25 20:27:31.393432,2025-11-25 20:27:31.393433,0
INIT-#6de824-73,inbound,74,5,777,777,1,系统初始化入库,143,2025-11-25 20:27:31.393434,2025-11-25 20:27:31.393435,0
INIT-#cc4fa9-74,inbound,75,5,1962,1962,1,系统初始化入库,144,2025-11-25 20:27:31.393436,2025-11-25 20:27:31.393437,0
INIT-#47517d-74,inbound,75,4,182,182,1,系统初始化入库,145,2025-11-25 20:27:31.393438,2025-11-25 20:27:31.393439,0
INIT-#847c7a-75,inbound,76,6,352,352,1,系统初始化入库,146,2025-11-25 20:27:31.393440,2025-11-25 20:27:31.393441,0
INIT-#e27a87-76,inbound,77,6,1017,1017,1,系统初始化入库,147,2025-11-25 20:27:31.393442,2025-11-25 20:27:31.393443,0
INIT-#824b23-77,inbound,78,1,1543,1543,1,系统初始化入库,148,2025-11-25 20:27:31.393444,2025-11-25 20:27:31.393445,0
INIT-#890ecb-77,inbound,78,6,152,152,1,系统初始化入库,149,2025-11-25 20:27:31.393446,2025-11-25 20:27:31.393447,0
INIT-#0fcbb6-78,inbound,79,6,93,93,1,系统初始化入库,150,2025-11-25 20:27:31.393448,2025-11-25 20:27:31.393449,0
INIT-#5fea1f-79,inbound,80,5,57,57,1,系统初始化入库,151,2025-11-25 20:27:31.393450,2025-11-25 20:27:31.393451,0
INIT-#e489f4-80,inbound,81,5,165,165,1,系统初始化入库,152,2025-11-25 20:27:31.393452,2025-11-25 20:27:31.393453,0
INIT-#0f5af3-80,inbound,81,4,409,409,1,系统初始化入库,153,2025-11-25 20:27:31.393454,2025-11-25 20:27:31.393455,0
INIT-#cb1e32-81,inbound,82,4,516,516,1,系统初始化入库,154,2025-11-25 20:27:31.393457,2025-11-25 20:27:31.393458,0
INIT-#f3f4a5-81,inbound,82,1,1338,1338,1,系统初始化入库,155,2025-11-25 20:27:31.393459,2025-11-25 20:27:31.393460,0
INIT-#d5e7d6-82,inbound,83,1,936,936,1,系统初始化入库,156,2025-11-25 20:27:31.393461,2025-11-25 20:27:31.393462,0
INIT-#1a6325-82,inbound,83,2,440,440,1,系统初始化入库,157,2025-11-25 20:27:31.393463,2025-11-25 20:27:31.393464,0
INIT-#6e4f30-82,inbound,83,6,1328,1328,1,系统初始化入库,158,2025-11-25 20:27:31.393465,2025-11-25 20:27:31.393466,0
INIT-#a24296-83,inbound,84,1,419,419,1,系统初始化入库,159,2025-11-25 20:27:31.393467,2025-11-25 20:27:31.393468,0
INIT-#fa7259-83,inbound,84,6,1229,1229,1,系统初始化入库,160,2025-11-25 20:27:31.393469,2025-11-25 20:27:31.393470,0
INIT-#66dab4-83,inbound,84,5,1336,1336,1,系统初始化入库,161,2025-11-25 20:27:31.393471,2025-11-25 20:27:31.393472,0
INIT-#1fec0f-84,inbound,85,3,1440,1440,1,系统初始化入库,162,2025-11-25 20:27:31.393473,2025-11-25 20:27:31.393474,0
INIT-#f1124d-84,inbound,85,2,60,60,1,系统初始化入库,163,2025-11-25 20:27:31.393475,2025-11-25 20:27:31.393476,0
INIT-#175480-84,inbound,85,5,942,942,1,系统初始化入库,164,2025-11-25 20:27:31.393477,2025-11-25 20:27:31.393478,0
INIT-#c2db2c-85,inbound,86,6,818,818,1,系统初始化入库,165,2025-11-25 20:27:31.393480,2025-11-25 20:27:31.393480,0
INIT-#e34243-85,inbound,86,2,1687,1687,1,系统初始化入库,166,2025-11-25 20:27:31.393482,2025-11-25 20:27:31.393483,0
INIT-#642757-85,inbound,86,3,1317,1317,1,系统初始化入库,167,2025-11-25 20:27:31.393484,2025-11-25 20:27:31.393485,0
INIT-#a8cf42-86,inbound,87,2,1030,1030,1,系统初始化入库,168,2025-11-25 20:27:31.393486,2025-11-25 20:27:31.393487,0
INIT-#e27e5d-86,inbound,87,3,1253,1253,1,系统初始化入库,169,2025-11-25 20:27:31.393488,2025-11-25 20:27:31.393489,0
INIT-#ef7ba0-86,inbound,87,4,1055,1055,1,系统初始化入库,170,2025-11-25 20:27:31.393490,2025-11-25 20:27:31.393491,0
INIT-#b39b5e-87,inbound,88,6,1277,1277,1,系统初始化入库,171,2025-11-25 20:27:31.393492,2025-11-25 20:27:31.393493,0
INIT-#bd13ab-87,inbound,88,2,966,966,1,系统初始化入库,172,2025-11-25 20:27:31.393494,2025-11-25 20:27:31.393495,0
INIT-#cbe019-87,inbound,88,1,1533,1533,1,系统初始化入库,173,2025-11-25 20:27:31.393496,2025-11-25 20:27:31.393497,0
INIT-#660648-88,inbound,89,1,56,56,1,系统初始化入库,174,2025-11-25 20:27:31.393498,2025-11-25 20:27:31.393499,0
INIT-#1780ae-89,inbound,90,1,880,880,1,系统初始化入库,175,2025-11-25 20:27:31.393500,2025-11-25 20:27:31.393501,0
INIT-#7a1746-89,inbound,90,2,355,355,1,系统初始化入库,176,2025-11-25 20:27:31.393502,2025-11-25 20:27:31.393503,0
INIT-#8cb3eb-90,inbound,91,4,1047,1047,1,系统初始化入库,177,2025-11-25 20:27:31.393504,2025-11-25 20:27:31.393505,0
INIT-#5291b4-90,inbound,91,1,1867,1867,1,系统初始化入库,178,2025-11-25 20:27:31.393506,2025-11-25 20:27:31.393507,0
INIT-#c12766-90,inbound,91,3,779,779,1,系统初始化入库,179,2025-11-25 20:27:31.393508,2025-11-25 20:27:31.393509,0
INIT-#fca087-91,inbound,92,2,1717,1717,1,系统初始化入库,180,2025-11-25 20:27:31.393511,2025-11-25 20:27:31.393512,0
INIT-#a24b96-91,inbound,92,4,1485,1485,1,系统初始化入库,181,2025-11-25 20:27:31.393513,2025-11-25 20:27:31.393514,0
INIT-#37f94e-91,inbound,92,5,1176,1176,1,系统初始化入库,182,2025-11-25 20:27:31.393515,2025-11-25 20:27:31.393516,0
INIT-#4cd805-92,inbound,93,6,942,942,1,系统初始化入库,183,2025-11-25 20:27:31.393517,2025-11-25 20:27:31.393518,0
INIT-#de8503-92,inbound,93,2,482,482,1,系统初始化入库,184,2025-11-25 20:27:31.393519,2025-11-25 20:27:31.393520,0
INIT-#127a6a-93,inbound,94,6,1208,1208,1,系统初始化入库,185,2025-11-25 20:27:31.393521,2025-11-25 20:27:31.393522,0
INIT-#8ebc08-94,inbound,95,1,449,449,1,系统初始化入库,186,2025-11-25 20:27:31.393523,2025-11-25 20:27:31.393524,0
INIT-#2b7a3a-94,inbound,95,4,757,757,1,系统初始化入库,187,2025-11-25 20:27:31.393525,2025-11-25 20:27:31.393526,0
INIT-#c7fa09-95,inbound,96,5,1224,1224,1,系统初始化入库,188,2025-11-25 20:27:31.393527,2025-11-25 20:27:31.393528,0
INIT-#d0b420-95,inbound,96,4,713,713,1,系统初始化入库,189,2025-11-25 20:27:31.393529,2025-11-25 20:27:31.393530,0
INIT-#6f7d7c-96,inbound,97,1,446,446,1,系统初始化入库,190,2025-11-25 20:27:31.393531,2025-11-25 20:27:31.393532,0
INIT-#03c2fc-96,inbound,97,5,1659,1659,1,系统初始化入库,191,2025-11-25 20:27:31.393534,2025-11-25 20:27:31.393535,0
INIT-#59f8da-97,inbound,98,6,437,437,1,系统初始化入库,192,2025-11-25 20:27:31.393536,2025-11-25 20:27:31.393537,0
INIT-#39945b-97,inbound,98,3,1747,1747,1,系统初始化入库,193,2025-11-25 20:27:31.393538,2025-11-25 20:27:31.393539,0
INIT-#e1690f-97,inbound,98,5,279,279,1,系统初始化入库,194,2025-11-25 20:27:31.393540,2025-11-25 20:27:31.393541,0
